Months,Samples,Replicate,Moisture,Ash,Proteins,Phenolics,Phlorotannins,Fucoxanthin,Mannitol ,Fucose,Arabinose ,Rhamnose ,Galactose,Glucose ,Xylose ,Mannose ,Galacturonic_acid ,Glucuronic_acid ,Guluronic_acid,Mannuronic_acid ,Total_sugars ,Perc_DW,Alginate_bio,Alginate_mono, MG_ratio
May,Frozen,1,8.755547337,34.77255917,35.73511189,0.261742437,0.212084937,904.6094423,9.1,14.53,1.9,0.89,6.15,5.68,4.84,3.03,0.61,7.08,35.91,84.65,174.36,17.44,12.056,69.15,2.36
May,Frozen,2,8.437622214,38.00351975,34.60393201,0.254192175,0.221337782,899.6569085,13.25,12.43,1.4,0.66,5.5,4.65,4.49,2.95,0.6,7.1,39.41,94.81,187.25,18.72,13.422,71.68,2.41
May,Frozen,3,8.646541383,37.69492203,34.47275365,0.295253236,0.22733571,895.1050601,13.86,15.92,1.73,0.87,6.66,6.39,5.19,3.52,0.59,7.68,36.16,88.27,186.84,18.68,12.443,66.6,2.44
May,Shade,1,9.733744935,37.62299826,32.82527881,0.470091951,0.085977824,24.00550847,15.9,16.5,1.87,0.76,11.14,10.74,7.68,5.25,0.34,4.59,14.53,45.3,134.6,13.46,5.983,44.45,3.12
May,Shade,2,13.43604108,41.12978525,34.16872699,0.466375809,0.159012614,38.90782732,11.61,18.69,1.68,0.82,10.33,9.51,6.68,4.52,0.34,3.43,11.8,34.25,113.64,11.36,4.605,40.52,2.9
May,Shade,3,12.68268759,40.61794998,34.96282528,0.353618023,0.091467303,34.86212575,15.8,19.01,1.85,1.29,12.31,10.38,8.68,5.48,0.48,5.69,18.82,48.18,147.98,14.8,6.7,45.28,2.56
June,Frozen,1,8.913954881,38.96985426,26.97026022,0.278200692,0.240848298,737.6523267,12.85,11.52,1.09,0.92,5.05,4.09,4.15,2.72,0.33,5.79,34.79,85.2,168.49,16.85,11.999,71.22,2.45
June,Frozen,2,8.670252226,39.18768546,27.89926379,0.238822172,0.298814043,697.3004464,14.01,17.45,0.96,1.09,6.37,4.47,5,3.07,0.26,5.98,36.67,88.95,184.28,18.43,12.562,68.17,2.43
June,Frozen,3,8.432022738,36.76930365,29.20074349,0.208163884,0.23458147,794.3571358,14.47,14.33,1.04,0.96,5.84,4.37,4.79,2.86,0.3,5.68,35.03,82.05,171.7,17.17,11.708,68.19,2.34
June,Shade,1,10.61173533,39.59473735,29.53428854,0.378975119,0.080350429,80.4518714,15.4,18.38,0.98,1.28,11.07,7.7,7.69,4.8,0.12,6.21,26.06,71.07,170.77,17.08,9.713,56.88,2.73
June,Shade,2,10.42974408,38.76388218,29.959529,0.189840184,0.104704031,32.88852539,17.86,18.78,1.37,1.04,10.1,8.74,6.89,4.36,0.14,6.46,19,72.41,167.14,16.71,9.14,54.69,3.81
June,Shade,3,10.55660284,37.94027185,27.49492664,0.524809485,0.168543978,32.50757722,17.95,24.84,0.75,1.24,12.62,8.34,9.64,6.37,0.02,7.19,33.74,89.31,212.01,21.2,12.305,58.04,2.65
July,Frozen,1,8.681577398,38.05179517,33.82170712,0.345346257,0.265905761,774.0929208,1.13,12.55,0.87,1.25,5.33,3.41,3.73,2.46,0.21,5.17,35.85,80.95,152.91,15.29,11.68,76.38,2.26
July,Frozen,2,8.677196446,36.29812438,37.46772392,0.294834258,0.22701311,785.5285079,2.78,16.95,1.2,1.75,6.43,4.27,4.74,2.7,0.17,4.78,34.19,79.98,159.93,15.99,11.417,71.39,2.34
July,Frozen,3,10.54852321,37.17986459,37.00909124,0.158963993,0.233187916,766.278167,1.57,16.42,1.16,1.41,6.29,4.19,4.48,2.53,0.17,4.71,28.99,67.04,138.94,13.89,9.603,69.12,2.31
July,Shade,1,13.5345667,38.98734177,32.84691783,0.341166763,0.123868988,45.61172179,20.33,11.97,1.13,0.76,5.29,3.69,3.45,2.17,0.09,2.69,11.84,41.74,105.15,10.51,5.358,50.96,3.53
July,Shade,2,14.74618038,34.40118285,35.08707675,0.264359862,0.134278254,44.1390159,16.61,9.08,0.31,0.43,2.86,2.17,2.43,1.41,0.04,2.78,11.03,26.5,75.66,7.57,3.753,49.61,2.4
July,Shade,3,13.1879845,38.86627907,28.57245479,0.44392586,0.119788033,47.30161133,18.25,16.03,1,0.64,7.56,4.11,5.14,3.36,0.2,6.33,26.03,68.89,157.53,15.75,9.493,60.26,2.65
August,Frozen,1,8.788832088,36.22689737,33.72405329,0.251405709,0.287239569,1107.692311,12.15,11.79,1.12,0.63,5.39,3.73,4.05,2.34,0.32,3.68,29.31,70.55,145.06,14.51,9.986,68.84,2.41
August,Frozen,2,9.344569288,35.76779026,34.65409375,0.235008472,0.206016682,1070.627987,9.03,15.78,1.68,2.06,7.54,5.74,5.39,3.17,0.35,4.59,31.16,70.55,157.03,15.7,10.171,64.77,2.26
August,Frozen,3,7.649143532,36.079937,35.20770924,0.266987228,0.277163932,1211.480588,9.94,15.51,1.29,1.3,7.89,4.74,5.04,2.93,0.22,4.02,32.19,73.1,158.16,15.82,10.529,66.57,2.27
August,Shade,1,12.02377472,39.01393355,34.82396676,0.190954706,0.199167106,48.82059109,13.16,12.83,0.89,0.79,5.23,3.29,3.55,2.38,0.17,5.59,23.3,60.16,131.33,13.13,8.346,63.55,2.58
August,Shade,2,12.00353913,37.76051907,28.75877736,0.225252731,0.204781652,43.66492322,12.5,17.8,1.36,1.85,10.77,7.2,5.96,3.62,0.12,5.14,20.96,70.69,157.96,15.8,9.165,58.02,3.37
August,Shade,3,13.16973015,34.4544388,30.64259161,0.083925513,0.181147886,44.82170276,13.97,14.7,0.92,0.9,6.31,4.56,4.57,2.96,0.24,7.12,27.86,70.22,154.32,15.43,9.808,63.55,2.52
September,Frozen,1,8.174542683,37.65243902,29.57249071,0.373783679,0.230449898,887.2488681,10.25,13.69,1.67,0.89,5.79,4.06,3.88,2.2,0.29,3.17,27.58,59.1,132.57,13.26,8.668,65.38,2.14
September,Frozen,2,8.977604674,35.65725414,32.34017617,0.151512049,0.274307508,997.8364481,1.26,19.2,1.66,1.34,7.69,4.79,5.16,3.26,0.26,4.49,33.3,74.75,157.16,15.72,10.805,68.75,2.24
September,Frozen,3,8.166481275,36.67964405,35.47839896,0.193189412,0.311763224,920.41333,6.79,19.82,1.12,1.07,7.84,5.07,5.69,3.41,0.18,4.08,34.94,74.41,164.42,16.44,10.935,66.51,2.13
September,Shade,1,13.26824733,29.13063691,28.71929441,0.444105386,0.226566233,35.79811776,18.83,26.36,0.98,0.97,15.44,8.26,9.17,8.03,0.12,8.24,36.2,90.9,223.51,22.35,12.71,56.87,2.51
September,Shade,2,8.913512453,37.77211218,41.05382253,0.140072533,0.203956696,82.92813745,17.36,25.07,1.21,1.1,10.65,5.18,5.75,3.78,0.14,8.06,32.55,82.88,193.73,19.37,11.543,59.59,2.55
September,Shade,3,9.062934286,33.03553703,31.71524523,0.229757785,0.208877285,44.32840038,17.83,25.54,0.95,0.78,8.46,4.53,5.21,3.67,0.1,7,38.03,86.33,198.41,19.84,12.436,62.68,2.27
October,Frozen,1,8.77706261,38.46303881,39.28857788,0.162596164,0.399378997,985.7241262,2.07,13.96,2,1.88,6.99,3.81,4.04,2.46,0.3,3.55,27.02,60.21,128.3,12.83,8.723,67.99,2.23
October,Frozen,2,8.168681805,38.09102526,31.8823594,0.248530785,0.281226503,1081.810608,2.6,12.38,1.25,1.17,5.9,3.52,4.12,2.48,0.32,3.54,30.19,67.81,135.28,13.53,9.8,72.44,2.25
October,Frozen,3,6.937073541,38.90257771,36.09427363,0.259685522,0.283698248,1055.55388,2.41,17.26,2.06,1.57,8.08,4.76,5.27,3.35,0.22,4.12,36.08,76.9,162.07,16.21,11.298,69.71,2.13
October,Shade,1,12.74685817,34.10133653,36.43877493,0.268063515,0.195869842,55.4009887,15.31,21.31,1.17,1.86,12.14,7.74,7.11,6.1,0.16,6.71,25.89,60.86,166.38,16.64,8.675,52.14,2.35
October,Shade,2,11.68242711,35.13593381,35.51070986,0.48882298,0.286512715,35.32740848,12.62,14.4,0.95,1.62,6.1,4.11,4.44,2.86,0.16,6.99,21.86,60.44,136.57,13.66,8.23,60.27,2.76
October,Shade,3,11.4484127,35.58531746,34.3820836,0.259515571,0.242790623,44.07237595,14.38,11.7,0.7,0.8,5.41,3.27,3.82,2.87,0.12,8.18,28.58,62.79,142.62,14.26,9.137,64.06,2.2
