Months,Samples,Replicate,Na,Mg,Al,P,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Mo,Ag,Cd,Sb,Ba,Tl,Pb,Th,U
May,Frozen,1,29240.3541,8958.595,300.232,704.069,76463.33,52806.074,2.248,3.314,23.789,488.652,0.728,4.963,3.9,0,96.891,0.397,0.773,0.0135,0.5566,0.0422,15.933,0.0077,0.338,0.021,0.7
May,Frozen,2,34304.4732,9665.941,222.78,690.649,84289.988,52623.914,2.902,3.348,24.53,395.465,0.671,3.876,3.418,0,99.026,0.434,0.763,0.01,0.4933,0.0487,15.932,0.0065,0.311,0.017,0.653
May,Frozen,3,35988.2638,9273.22,218.143,573.263,87637.201,47707.681,4.088,1.944,20.133,377.089,0.637,4.086,3.151,0,97.889,0.285,0.461,0.0113,0.449,0.0438,15.471,0.007,0.289,0.016,0.554
May,Shade,1,33543.859,9909.31,428.157,830.345,86970.995,51218.453,2.875,1.827,23.993,760.593,0.772,3.705,3.224,10.051,101.466,0.242,0.229,0.0104,0.456,0.0757,13.959,0.0123,0.478,0.028,0.54
May,Shade,2,36237.541,10743.572,280.011,826.036,76786.898,50096.82,2.65,1.597,21.444,520.992,0.807,4.437,2.943,8.997,101.271,0.47,0.283,0.0081,0.4157,0.0479,16.445,0.0087,0.553,0.019,0.598
May,Shade,3,37956.043,10958.66,312.079,901.317,88006.246,56872.581,3.206,1.895,23.264,670.22,0.797,4.037,2.889,7.492,95.531,0.333,0.283,0.009,0.4629,0.0565,14.736,0.0093,0.411,0.024,0.534
June,Frozen,1,37555.825,9956.892,184.12,596.114,79150.303,53255.928,1.513,1.974,21.569,272.091,0.733,3.627,3.156,0,121.018,0.308,0.491,0.0059,0.4819,0.0523,14.973,0.0067,0.292,0.02,0.573
June,Frozen,2,38004.4,10301.07,122.061,569.365,89968.68,53430.297,1.655,1.246,18.374,139.029,0.701,3.042,3.244,0,117.219,0.346,0.284,0.0049,0.459,0.0281,16.038,0.0086,0.253,0.01,0.562
June,Frozen,3,34073.095,9708.472,159.39,610.448,73187.222,59013.349,2.073,1.812,20.705,217.645,0.678,3.821,3.402,0,112.867,0.409,0.443,0.0051,0.4936,0.0425,16.099,0.0073,0.278,0.018,0.586
June,Shade,1,36966.297,11213.487,639.659,764.06,80937.62,54796.158,4.635,10.34,28.928,1136.623,0.941,4.242,7.041,0,114.685,0.339,1.865,0.0063,0.4566,0.0461,15.378,0.0077,1.07,0.045,0.506
June,Shade,2,39139.481,11518.178,193.048,793.729,83085.237,60985.288,1.457,2.237,18.783,253.959,1.462,3.919,3.258,0,118.667,0.448,0.197,0.0111,0.5063,0.0704,14.01,0.0067,1.041,0.02,0.5
June,Shade,3,37896.729,11028.06,750.289,735.156,70878.271,56048.356,3.422,4.95,51.812,1238.625,5.385,5.827,7.253,5.76,111.487,0.335,0.269,0.0269,0.5186,0.2515,31.894,0.0077,4.346,0.035,0.587
July,Frozen,1,30747.56,9296.67,340.157,804.298,86400.611,62437.401,1.714,3.921,45.926,299.154,0.911,4.746,4.217,6.04,115.777,0.504,0.888,0.0165,0.5227,0.0498,24.039,0.0068,0.961,0.02,0.612
July,Frozen,2,25512.335,9491.31,354.158,866.377,72083.409,73111.013,3.524,2.206,38.376,316.924,0.923,4.763,4.426,4.561,103.421,0.501,0.499,0.0186,0.5328,0.0453,23.411,0.0085,0.96,0.022,0.609
July,Frozen,3,26989.215,11005.167,579.001,944.795,72231.673,80123.213,3.609,2.447,42.93,475.609,1.009,4.939,4.879,5.401,95.818,0.604,0.529,0.0165,0.58,0.0388,23.08,0.0083,1.149,0.032,0.588
July,Shade,1,31955.766,10193.396,403.958,863.706,68633.304,53845.04,2.235,1.139,36.881,329.609,0.844,4.022,3.292,5.141,104.613,0.516,0.248,0.0157,0.4815,0.1369,20.429,0.0059,0.927,0.022,0.553
